2016-11-02 11:03:59,420 [Worker-147] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-11-02 11:03:59,421 [Worker-147] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-02 11:03:59,421 [Worker-147] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-11-02 11:05:52,692 [Worker-153] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-02 11:05:52,693 [Worker-153] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-11-02 11:05:52,693 [Worker-153] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-02 11:05:52,694 [Worker-153] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-11-02 11:08:46,659 [Worker-154] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-02 11:08:46,660 [Worker-154] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-11-02 11:08:46,660 [Worker-154] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-02 11:08:46,661 [Worker-154] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-11-02 11:13:38,621 [Worker-150] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-02 11:13:38,622 [Worker-150] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-11-02 11:13:38,623 [Worker-150] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-02 11:13:38,623 [Worker-150] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-11-02 11:13:54,556 [Worker-152] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-02 11:13:54,557 [Worker-152] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-11-02 11:13:54,558 [Worker-152] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-02 11:13:54,558 [Worker-152] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-11-02 11:16:02,406 [Worker-156] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
